jezyk,liczba_wnioskow,typ_podrozy,partner,sredni_czas_realizacji_dni,mediana_dni,wspolczynnik_avg_med,odchylenie_standardowe
da,30,biznesowy,tui,0.6861111111111112,0.8333333333333334,0.8233333333333335,0.3247334106538645
da,40,,tui,0.5885416666666667,0.75,0.7847222222222223,0.3295981295370192
de,18,biznesowy,kiribati,0.6018518518518516,0.75,0.8024691358024688,0.3530395045795226
de,77,biznesowy,tui,0.6266233766233767,0.7916666666666666,0.791524265208476,0.3560284885385179
de,17,prywatny,tui,0.33088235294117646,0.16666666666666666,1.9852941176470589,0.3408878917453098
de,315,,tui,0.6658730158730162,0.75,0.8878306878306882,0.2656325918348662
en,49,biznesowy,kiribati,0.7023809523809523,0.7916666666666666,0.8872180451127819,0.2716334335501102
en,22,biznesowy,tui,0.5662878787878788,0.75,0.7550505050505051,0.3813741971591396
en,15,prywatny,kiribati,0.6444444444444444,0.75,0.8592592592592592,0.2987518125512304
en,44,,kiribati,0.6060606060606062,0.75,0.8080808080808083,0.3224300278455337
en,491,,tui,0.5123048200950437,0.5,1.0246096401900875,0.24672011758042056
fi,138,biznesowy,tui,0.5987318840579713,0.7916666666666666,0.7562929061784901,0.36205614683496573
fi,17,prywatny,tui,0.3946078431372549,0.125,3.156862745098039,0.39228609237133794
fi,155,,tui,0.581720430107527,0.7916666666666666,0.7348047538200342,0.3647555675721069
fr,72,biznesowy,kiribati,0.5630787037037037,0.7916666666666666,0.7112573099415205,0.3724806513887881
fr,20,prywatny,kiribati,0.5687500000000001,0.7083333333333334,0.8029411764705883,0.3643153777216168
fr,23,,kiribati,0.7228260869565217,0.8333333333333334,0.8673913043478261,0.30531091735841115
nb,83,biznesowy,kiribati,0.5471887550200802,0.75,0.7295850066934403,0.3634613155394789
nb,91,biznesowy,tui,0.5425824175824175,0.75,0.7234432234432234,0.37939696007882473
nb,13,prywatny,kiribati,0.41666666666666663,0.2916666666666667,1.4285714285714284,0.32364389438141794
nb,84,,kiribati,0.6324404761904763,0.8333333333333334,0.7589285714285715,0.3445138443046592
nb,105,,tui,0.5392857142857143,0.7083333333333334,0.761344537815126,0.3673466056649074
nl,39,biznesowy,tui,0.6410256410256412,0.8333333333333334,0.7692307692307694,0.3666984865349058
ru,39,,tui,0.6420940170940171,0.7083333333333334,0.9064856711915535,0.2550151119099496
sv,173,biznesowy,tui,0.49012524084778425,0.5,0.9802504816955685,0.34516436239263487
sv,41,prywatny,tui,0.5132113821138211,0.5833333333333334,0.8797909407665504,0.3491605787543856
sv,349,,tui,0.5945558739255015,0.6666666666666666,0.8918338108882522,0.30558833267813984
