jezyk,typ_podrozy,count,sredni_czas_realizacji_dni,wspolczynnik_avg_mediana,sredni_czas_realizacji_godziny,zmiana_1
da,prywatny,69,0.5416666666666667,0.7222222222222223,13.000000000000002,-4.802207911683544
da,biznesowy,398,0.5689907872696819,0.7586543830262426,13.655778894472366,
de,prywatny,38,0.44078947368421045,2.11578947368421,10.578947368421051,-24.25871015567086
de,biznesowy,183,0.581967213114754,0.7759562841530053,13.967213114754095,
en,prywatny,202,0.5375412541254125,0.7167216721672167,12.900990099009901,-12.595246557168402
en,biznesowy,721,0.6150023116042533,0.7768450251843201,14.76005547850208,
es,prywatny,45,0.5759259259259258,0.727485380116959,13.82222222222222,-10.351153039832287
es,biznesowy,110,0.6424242424242423,0.8114832535885167,15.418181818181816,
fi,prywatny,30,0.4708333333333333,1.614285714285714,11.3,-22.226720647773305
fi,biznesowy,221,0.6053921568627453,0.7647058823529415,14.529411764705888,
fr,prywatny,31,0.5255376344086022,0.7419354838709679,12.612903225806454,-5.362433752034407
fr,biznesowy,116,0.5553160919540232,0.7014519056261346,13.327586206896557,
it,prywatny,45,0.6175925925925926,0.7801169590643275,14.822222222222223,6.059609133278511
it,biznesowy,203,0.5823070607553366,0.7355457609541094,13.975369458128078,
nb,prywatny,29,0.39655172413793105,1.5862068965517242,9.517241379310345,-24.77180527383366
nb,biznesowy,258,0.5271317829457364,0.7028423772609819,12.651162790697672,
nl,biznesowy,45,0.6398148148148146,0.7677777777777774,15.35555555555555,
pl,biznesowy,49,0.613095238095238,0.7357142857142857,14.714285714285712,
pt,prywatny,43,0.6259689922480621,0.7906976744186048,15.02325581395349,15.563506261180684
pt,biznesowy,130,0.5416666666666667,0.7647058823529412,13.000000000000002,
ru,biznesowy,32,0.609375,0.7697368421052632,14.625,
sv,prywatny,60,0.525,0.9,12.600000000000001,3.291614518147733
sv,biznesowy,262,0.508269720101781,0.9383440986494418,12.198473282442743,
