jezyk,typ_podrozy,count,mediana_dni,kwartyl_q1,kwartyl_q3,max_dni,min_dni
da,prywatny,69,0.75,0.125,0.875,0.9583333333333334,0.041666666666666664
da,biznesowy,398,0.75,0.16666666666666666,0.875,0.9583333333333334,0.041666666666666664
de,prywatny,38,0.20833333333333334,0.08333333333333333,0.8333333333333334,0.9583333333333334,0.041666666666666664
de,biznesowy,183,0.75,0.125,0.875,0.9583333333333334,0.041666666666666664
el,prywatny,5,0.7083333333333334,0.5416666666666666,0.75,0.875,0.20833333333333334
el,biznesowy,6,0.2916666666666667,0.125,0.875,0.9583333333333334,0.041666666666666664
en,prywatny,202,0.75,0.125,0.875,0.9583333333333334,0.041666666666666664
en,biznesowy,721,0.7916666666666666,0.16666666666666666,0.9166666666666666,0.9583333333333334,0.041666666666666664
es,prywatny,45,0.7916666666666666,0.16666666666666666,0.8333333333333334,0.9583333333333334,0.041666666666666664
es,biznesowy,110,0.7916666666666666,0.20833333333333334,0.875,0.9583333333333334,0.041666666666666664
fi,prywatny,30,0.2916666666666667,0.08333333333333333,0.8333333333333334,0.9583333333333334,0.041666666666666664
fi,biznesowy,221,0.7916666666666666,0.16666666666666666,0.9166666666666666,0.9583333333333334,0.041666666666666664
fr,prywatny,31,0.7083333333333334,0.08333333333333333,0.8333333333333334,0.9583333333333334,0.041666666666666664
fr,biznesowy,116,0.7916666666666666,0.125,0.9166666666666666,0.9583333333333334,0.041666666666666664
it,prywatny,45,0.7916666666666666,0.20833333333333334,0.9166666666666666,0.9583333333333334,0.041666666666666664
it,biznesowy,203,0.7916666666666666,0.16666666666666666,0.875,0.9583333333333334,0.041666666666666664
nb,prywatny,29,0.25,0.08333333333333333,0.75,0.9166666666666666,0.041666666666666664
nb,biznesowy,258,0.75,0.125,0.875,0.9583333333333334,0.041666666666666664
nl,prywatny,8,0.125,0.041666666666666664,0.20833333333333334,0.9583333333333334,0.041666666666666664
nl,biznesowy,45,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.9583333333333334,0.041666666666666664
pl,prywatny,8,0.125,0.041666666666666664,0.16666666666666666,0.9583333333333334,0.041666666666666664
pl,biznesowy,49,0.8333333333333334,0.125,0.9166666666666666,0.9583333333333334,0.041666666666666664
pt,prywatny,43,0.7916666666666666,0.16666666666666666,0.9166666666666666,0.9583333333333334,0.041666666666666664
pt,biznesowy,130,0.7083333333333334,0.16666666666666666,0.875,0.9583333333333334,0.041666666666666664
ru,prywatny,3,0.16666666666666666,0.125,0.9166666666666666,0.9166666666666666,0.125
ru,biznesowy,32,0.7916666666666666,0.125,0.875,0.9583333333333334,0.041666666666666664
sv,prywatny,60,0.5833333333333334,0.125,0.875,0.9583333333333334,0.041666666666666664
sv,biznesowy,262,0.5416666666666666,0.125,0.875,0.9583333333333334,0.041666666666666664
tr,biznesowy,1,0.75,0.75,0.75,0.75,0.75
